Номер,Вопрос,Ответ
1,"Что такое ""вычислительная платформа"" с точки зрения пользователя? Каков её состав?","Вычислительная платформа - это набор средств, с помощью которых пользователь описывает и запускает вычислительный процесс. С точки зрения пользователя она задаёт, на каком языке формулируется вычисление, с какими данными можно работать, какие базовые операции доступны и какие практики использования считаются естественными. Состав: язык описания вычислений; типы данных; операции и конструкции; паттерны использования. Пример: язык C как платформа даёт синтаксис, типы `int`, `char`, указатели, операции и привычный стиль низкоуровневого программирования."
2,"Какие уровни абстракций относятся к дисциплине ""Архитектура компьютера""? Почему границы определены именно так?","К архитектуре компьютера относятся уровни от границы операционной системы до цифровой схемотехники. В ответе удобно перечислить: системное ПО и интерфейс с ОС; система команд и архитектура процессора; микроархитектура; цифровые логические схемы. Ниже цифровых схем начинаются аналоговая электроника, физика полупроводников и производство элементной базы. Выше начинаются полноценные операционные системы и прикладное программирование. Поэтому курс изучает путь от программной модели вычислений к аппаратной реализации, но не уходит глубоко ни в физику, ни в прикладное ПО."
3,В чём заключается отличие Platform-Based Design от проектирования для конкретной платформы?,"Проектирование для конкретной платформы означает, что платформа уже задана: выбран процессор, язык, ОС, библиотеки и ограничения. Разработчик строит систему внутри этих рамок. Platform-Based Design - это подход, где платформа сама является частью проектного решения: её выбирают, настраивают или проектируют исходя из требований системы. Главное отличие: в обычном подходе платформа - исходное ограничение, а в Platform-Based Design - инструмент достижения требований. Это важно для встроенных и низкоуровневых систем, где универсальность стоит энергии, задержек, стоимости и потери контроля."
4,Почему большинство современных компьютерных систем считаются системами с преобладающей программной составляющей? Приведите примеры.,"Система называется системой с преобладающей программной составляющей, если основная сложность, стоимость разработки и изменяемость поведения сосредоточены в программном обеспечении. Причины: аппаратная база часто типовая; железо переиспользуется; производство аппаратуры стандартизировано; большую часть функциональности можно менять программой. Примеры: смартфон, автомобильная электроника, маршрутизатор, промышленный контроллер, умная бытовая техника. Аппаратная часть важна, но поведение системы в основном задаётся программой."
5,Что такое информационная и управляющая система?,"Информационная система получает, хранит, обрабатывает и выдаёт данные. Её цель - преобразование информации. Примеры: база данных, поисковая система, банковская система. Управляющая система получает данные о состоянии объекта и воздействует на этот объект, чтобы достичь заданной цели. Примеры: автопилот, система управления двигателем, промышленный контроллер. Главное различие: информационная система меняет представление данных, а управляющая система меняет поведение внешнего физического или технического объекта."
6,"Что такое ""требование реального времени""? Примеры систем. Что противоречит РВ в современных компьютерах?","Требование реального времени означает, что результат должен быть получен не просто правильно, а в заданный срок. Реальное время - это не максимальная скорость, а предсказуемость времени реакции. Примеры: тормозная система автомобиля, управление водосбросом на ГЭС, промышленная автоматика, медицинское оборудование. Реальному времени противоречат механизмы с непредсказуемыми задержками: кэши, вытесняющая многозадачность, прерывания, виртуальная память, сборка мусора, сложные планировщики ОС общего назначения."
7,Каковы этапы эволюции информационных систем: от пакетной обработки до облачных систем?,"Эволюция информационных систем шла в сторону уменьшения времени ответа, роста доступности и распределения вычислений. Основные этапы: пакетная обработка, когда задания накапливаются и выполняются очередью; разделение времени, когда несколько пользователей работают с одной системой; персональные компьютеры; компьютерные сети; интернет-сервисы; мобильные системы; облачные и распределённые платформы. Главная тенденция: переход от централизованной обработки заранее подготовленных задач к постоянно доступным сетевым сервисам."
8,Каковы этапы эволюции управляющих систем: от ИУС до КФС?,"Эволюция управляющих систем шла в сторону всё более тесной связи вычислителя с объектом управления. Этапы: информационно-управляющие системы, где вычислительная часть и объект управления разделены; встроенные системы, где вычислитель конструктивно встроен в объект; распределённые встроенные системы, где несколько узлов управляют частями объекта и взаимодействуют; киберфизические системы, где вычислительная, сетевая и физическая части образуют единую систему. Главная идея: компьютер становится частью физического процесса."
9,"Каковы задачи и предмет дисциплины ""Системная инженерия""? Какова роль системных инженеров?","Системная инженерия занимается созданием сложных систем, которые нельзя целиком удержать в голове одного узкого специалиста. Её предмет - большие технические и программно-аппаратные системы: самолёты, автомобили, нефтяные платформы, крупные информационные системы. Задачи: выявить требования заинтересованных сторон; построить архитектуру; согласовать подсистемы; обеспечить совместимость частей; контролировать систему на жизненном цикле. Системный инженер отвечает за целостность системы, а не за одну отдельную деталь."
10,Что такое успешная система? Какие точки зрения (заинтересованные стороны) необходимы для построения успешной системы?,"Успешная система - это система, которая удовлетворяет значимые заинтересованные стороны в заданных ограничениях. Здесь важнее говорить не про абстрактные точки зрения, а про стейкхолдеров: заказчика, пользователя, разработчиков, производство, эксплуатацию, поддержку, бизнес-владельцев, регуляторов и сертифицирующие органы. Система может быть технически работоспособной, но неуспешной, если её нельзя производить, сопровождать, сертифицировать или использовать. Поэтому успех определяется не только работой функции, но и принятием системы всеми ключевыми сторонами."
11,Как можно рассматривать систему с точки зрения структуры? Каковы причины множественности структуры?,"С точки зрения структуры система рассматривается как совокупность связанных частей. Её можно декомпозировать на подсистемы, элементы и связи между ними. Множественность структуры означает, что одну и ту же систему можно разложить по-разному в зависимости от цели рассмотрения. Например, автомобиль можно рассматривать по механическим узлам, по электрическим подсистемам, по функциям управления или по этапам производства. Причина множественности - разные заинтересованные стороны видят в системе разные существенные связи."
12,Как можно рассматривать систему с точки зрения функционального места? Что такое операционное окружение?,"С точки зрения функционального места система рассматривается не сама по себе, а по роли, которую она выполняет среди других систем. Нужно понять, с чем она взаимодействует, какие входы получает, какие выходы выдаёт и какую функцию выполняет для надсистемы. Операционное окружение - это внешняя среда, в которой система реально используется: пользователи, соседние системы, физические условия, ограничения эксплуатации, нормативные требования. Такой взгляд помогает понять, зачем система нужна и какие требования к ней возникают извне."
13,Как можно рассматривать систему с точки зрения жизненного цикла? Что такое обеспечивающая система?,"С точки зрения жизненного цикла система рассматривается не только в момент работы, а на всех этапах существования: идея, разработка, производство, внедрение, эксплуатация, поддержка, модернизация и вывод из эксплуатации. На каждом этапе у системы разные цели, риски и участники. Обеспечивающая система - это система, которая нужна не для основной функции продукта, а для его создания, эксплуатации или сопровождения. Примеры: производственная линия, система тестирования, сервисная инфраструктура, документация и инструменты разработки."
14,Каковы цели архитектурного проектирования компьютерных систем?,"Цель архитектурного проектирования - принять ключевые решения о структуре системы до детальной реализации. Архитектура должна связать требования с техническим решением: определить основные компоненты, их роли, интерфейсы, распределение функций между аппаратурой и ПО, ограничения по производительности, стоимости, энергии и надёжности. Архитектурное проектирование нужно, чтобы сложная система была понятной, согласованной, реализуемой и сопровождаемой. Хорошая архитектура уменьшает риск дорогих ошибок на поздних стадиях."
15,Что такое архитектура по Гради Бучу? Что представляют собой логическая и физическая структура?,"В подходе Гради Буча архитектура описывает существенные решения о системе: её основные элементы, отношения между ними и принципы организации. Логическая структура показывает, из каких смысловых или функциональных частей состоит система: модули, подсистемы, функции, интерфейсы. Физическая структура показывает, как эти части размещаются в реальной реализации: процессоры, платы, устройства, узлы сети, файлы, исполняемые компоненты. Один логический компонент может быть разнесён физически, и наоборот: одна физическая часть может выполнять несколько логических функций."
